Banner Name,5-Star Character,4-Star Characters,Banner Dates
Sparkling Splendor,Sparkle,"Hanya, Qingque, Sampo","29th February, 2024 to 26th March, 2024"
Swirl of Heavenly Spear,Jing Yuan,"Hanya, Qingque, Sampo","29th February, 2024 to 26th March, 2024"
Words of Yore,Acheron,"Gallagher, Pela, Dan Heng","27th March, 2024 to 17th April, 2024"
Laic Pursuit,Luocha,"Gallagher, Pela, Dan Heng","27th March, 2024 to 17th April, 2024"
Gilded Imprisonment,Aventurine,"Lynx, Luka, Serval","17th April, 2024 to 7th May, 2024"
Gentle Eclipse of the Moon,Jingliu,"Lynx, Luka, Serval","17th April, 2024 to 7th May, 2024"
Just Intonation,Robin,"March 7th, Hanya, Xueyi","8th May, 2024 to 29th May, 2024"
Sunset Clause,Topaz and Numby,"March 7th, Hanya, Xueyi","8th May, 2024 to 29th May, 2024"
Dusty Trail's Lone Star,Boothill,"Pela, Luka, Hook","29th May, 2024 to 18th June, 2024"
"Foreseen, Foreknown, Foretold",Fu Xuan,"Pela, Luka, Hook","29th May, 2024 to 18th June, 2024"
Firefull Flyshine,Firefly,"Gallagher, Misha, Xueyi","19th June, 2024 to 10th July, 2024"
Floral Triptych,Ruan Mei,"Gallagher, Misha, Xueyi","19th June, 2024 to 10th July, 2024"
"Lien on Life, Lease on Fate",Jade,"Serval, Natasha, Asta","10th July, 2024 to 30th July, 2024"
Thorns of Scented Crown,Argenti,"Serval, Natasha, Asta","10th July, 2024 to 30th July, 2024"
"Earth Hurled, Ether Curled",Yunli,"Hanya, Yukong, Lynx","31st July, 2024 to 21st August, 2024"
Bloom in Gloom,Huohuo,"Hanya, Yukong, Lynx","31st July, 2024 to 21st August, 2024"
Cauldron Contrivance,Jiaoqiu,"Hook, Guinaifen, Arlan","21st August, 2024 to 9th September, 2024"
Sparkling Splendor,Sparkle,"Hook, Guinaifen, Arlan","21st August, 2024 to 9th September, 2024"
Stormrider's Bolt,Feixiao,"Asta, Luka, Moze","10th September, 2024 to 2nd October, 2024"
Indelible Coterie,Kafka,"Asta, Luka, Moze","10th September, 2024 to 2nd October, 2024"
Indelible Coterie,Black Swan,"Asta, Luka, Moze","10th September, 2024 to 2nd October, 2024"
Indelible Coterie,Robin,"Asta, Luka, Moze","10th September, 2024 to 2nd October, 2024"
Let Scent Sink In,Lingsha,"Guinaifen, Misha, Natasha","2nd October, 2024 to 22nd October, 2024"
Sunset Clause,Topaz and Numby,"Guinaifen, Misha, Natasha","2nd October, 2024 to 22nd October, 2024"
Eyes of a Ninja,Rappa,"Lynx, Xueyi, Yukong","23rd October, 2024 to 13th November, 2024"
Epochal Spectrum,Imbibitor Lunae,"Lynx, Xueyi, Yukong","23rd October, 2024 to 13th November, 2024"
Words of Yore,Acheron,"March 7th, Pela, Sampo","13th November, 2024 to 3rd December, 2024"
Gilded Imprisonment,Aventurine,"March 7th, Pela, Sampo","13th November, 2024 to 3rd December, 2024"
Gate Upon the Stars,Sunday,"Arlan, Qingque, Tingyun","4th December, 2024 to 25th December, 2024"
Swirl of Heavenly Spear,Jing Yuan,"Arlan, Qingque, Tingyun","4th December, 2024 to 25th December, 2024"
The Long Voyage Home,Fugue,"Gallagher, Misha, Yukong","25th December, 2024 to 14th January, 2025"
Firefull Flyshine,Firefly,"Gallagher, Misha, Yukong","25th December, 2024 to 14th January, 2025"
Message from Beyond,The Herta,"Asta, Moze, Natasha","15th January, 2025 to 5th February, 2025"
Indelible Coterie,Feixiao,"Asta, Moze, Natasha","15th January, 2025 to 5th February, 2025"
Indelible Coterie,Lingsha,"Asta, Moze, Natasha","15th January, 2025 to 5th February, 2025"
Indelible Coterie,Jade,"Asta, Moze, Natasha","15th January, 2025 to 5th February, 2025"
Tailored Fate,Aglaea,"Hanya, Sushang, Tingyun","5th February, 2025 to 25th February, 2025"
Indelible Coterie,Boothill,"Hanya, Sushang, Tingyun","5th February, 2025 to 25th February, 2025"
Indelible Coterie,Robin,"Hanya, Sushang, Tingyun","5th February, 2025 to 25th February, 2025"
Indelible Coterie,Silver Wolf,"Hanya, Sushang, Tingyun","5th February, 2025 to 25th February, 2025"
Back to Fons et Origo,Tribbie,"Guinaifen, Hook, Lynx","26th February, 2025 to 19th March, 2025"
"Earth Hurled, Ether Curled",Yunli,"Guinaifen, Hook, Lynx","26th February, 2025 to 19th March, 2025"
Fiery Lionheart,Mydei,"Arlan, Natasha, Xueyi","19th March, 2025 to 8th April, 2025"
Bloom in Gloom,Huohuo,"Arlan, Natasha, Xueyi","19th March, 2025 to 8th April, 2025"
